chromosome	start	end	gene
1	45468212	45477001	HECTD3
1	45477819	45481247	UROD
1	45482071	45672228	ZSWIM5
1	45792545	45794347	HPDL
1	45794914	45806060	MUTYH
1	45805342	45809647	TOE1
1	45809555	45956838	TESK2
1	45961883	45965525	CCDC163P
1	45965725	45976739	MMACHC
1	45976708	45987609	PRDX1
1	46016215	46035721	AKR1A1
1	46049732	46084566	NASP
1	46085783	46089729	CCDC17
1	46092978	46152302	GPBP1L1
1	46111488	46111869	RPS15AP10
1	46152886	46160115	TMEM69
1	46164383	46216321	IPP
1	46269285	46501796	MAST2
1	46505812	46598314	PIK3R3
1	46600203	46604753	RP4-533D7.5
1	46640759	46651630	TSPAN1
1	46654355	46685977	POMGNT1
1	46669006	46686933	LURAP1
1	46713404	46744144	RAD54L
1	46744072	46769280	LRRC41
1	46769303	46782448	UQCRH
1	46805849	46827863	NSUN4
1	46859937	46879517	FAAH
1	46897801	46910993	RP5-1109J22.1
1	46912345	46915376	RP5-1109J22.2
1	46972669	46979898	DMBX1
1	47004368	47035927	MKNK1-AS1
1	47013100	47016887	KNCN
1	47023090	47069886	MKNK1
1	47073391	47080805	MOB3C
1	47098409	47134126	ATPAF1
1	47140831	47184736	EFCAB14
1	47137500	47139266	TEX38
1	47139708	47157770	EFCAB14-AS1
1	47264718	47285021	CYP4B1
1	47308850	47366106	CYP4Z2P
1	47394849	47407137	CYP4A11
1	47489240	47516423	CYP4X1
1	47533160	47583991	CYP4Z1
1	47603127	47615413	CYP4A22
1	47644922	47646011	LINC00853
1	47649265	47655727	PDZK1IP1
1	47681964	47695443	TAL1
1	47691469	47696422	RP1-18D14.7
1	47715814	47779812	STIL
1	47799469	47844511	CMPK1
1	47881744	47883723	FOXE3
1	47897805	47900313	FOXD2-AS1
1	47901689	47906363	FOXD2
1	48226200	48462567	TRABD2B
1	48226804	48231219	RP11-543D5.2
1	48226979	48227290	FLJ00388
1	48627471	48644902	SKINTL
1	48569306	48569878	AL109659.1
1	48688359	48714316	SLC5A9
1	48761044	48937845	SPATA6
1	48998527	50489585	AGBL4
1	49193195	49242590	BEND5
1	49723083	49734957	RP11-141A19.2
1	49839873	49937757	AGBL4-IT1
1	50459990	50461874	AL645730.2
1	50571964	50667071	ELAVL4
1	50871102	50871696	FCF1P6
1	50883222	50889172	DMRTA2
1	50905150	51425935	FAF1
1	51426417	51440305	CDKN2C
1	51525509	51525577	MIR4421
1	51567906	51613752	C1orf185
1	51701943	51739127	RNF11
1	51752930	51810788	TTC39A
1	51819935	51985000	EPS15
1	52082764	52254141	OSBPL9
1	52254863	52344477	NRD1
1	52302013	52302082	MIR761
1	52373628	52456436	RAB3B
1	52485803	52521843	TXNDC12
1	52497775	52499488	KTI12
1	52521797	52556388	BTF3L4
